title,price,page
A Light in the Attic,51.77,1
Tipping the Velvet,53.74,1
Soumission,50.1,1
Sharp Objects,47.82,1
Sapiens: A Brief History of Humankind,54.23,1
The Requiem Red,22.65,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,1
The Black Maria,52.15,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1
Shakespeare's Sonnets,20.66,1
Set Me Free,17.46,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,1
Rip it Up and Start Again,35.02,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,1
Olio,23.88,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1
Libertarianism for Beginners,51.33,1
It's Only the Himalayas,45.17,1
In Her Wake,12.84,2
How Music Works,37.32,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,2
Chase Me (Paris Nights #2),25.27,2
Black Dust,34.53,2
Birdsong: A Story in Pictures,54.64,2
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,2
Aladdin and His Wonderful Lamp,53.13,2
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,2
Wall and Piece,44.18,2
The Four Agreements: A Practical Guide to Personal Freedom,17.66,2
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,2
The Elephant Tree,23.82,2
The Bear and the Piano,36.89,2
Sophie's World,15.94,2
Penny Maybe,33.29,2
Maude (1883-1993):She Grew Up with the country,18.02,2
"In a Dark, Dark Wood",19.63,2
Behind Closed Doors,52.22,2
You can't bury them all: Poems,33.63,2
Slow States of Collapse: Poems,57.31,3
Reasons to Stay Alive,26.41,3
Private Paris (Private #10),47.61,3
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,3
Without Borders (Wanderlove #1),45.07,3
When We Collided,31.77,3
"We Love You, Charlie Freeman",50.27,3
Untitled Collection: Sabbath Poems 2014,14.27,3
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,3
Unicorn Tracks,18.78,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,3
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,3
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
