section,cluster,count,section_total,proportion
2025 and Beyond,7,10,10,1.0
A 21st Century Curriculum,2,1,1,1.0
A Liberal Arts College Experience,2,1,1,1.0
Academic Advising,1,4,5,0.8
Academic Advising,2,1,5,0.2
Academic Integrity,2,2,6,0.3333333333333333
Academic Integrity,6,1,6,0.16666666666666666
Academic Integrity,7,3,6,0.5
Academic Recognition and Honors,2,1,5,0.2
Academic Recognition and Honors,7,4,5,0.8
Academic Resource Center,1,5,5,1.0
Accommodations,1,1,3,0.3333333333333333
Accommodations,7,2,3,0.6666666666666666
Animating Principles,0,8,12,0.6666666666666666
Animating Principles,1,2,12,0.16666666666666666
Animating Principles,2,1,12,0.08333333333333333
Animating Principles,5,1,12,0.08333333333333333
Application Requirements,4,1,5,0.2
Application Requirements,7,4,5,0.8
Application Timelines,2,1,6,0.16666666666666666
Application Timelines,7,5,6,0.8333333333333334
Applied Mathematics and Computational Sciences with tracks in Computer Science and Mathematics,3,6,6,1.0
Applied Mathematics and Computational Sciences/Computer Science,3,1,1,1.0
Applied Mathematics and Computational Sciences/Mathematics (for the Classes of 2022- 2024),3,1,1,1.0
Arts and Culture,2,1,1,1.0
Athletics & University Sports,1,5,6,0.8333333333333334
Athletics & University Sports,2,1,6,0.16666666666666666
Behavioral Science / Psychology,3,3,3,1.0
Behavioral Science with tracks in Psychology and Neuroscience,1,1,6,0.16666666666666666
Behavioral Science with tracks in Psychology and Neuroscience,5,4,6,0.6666666666666666
Behavioral Science with tracks in Psychology and Neuroscience,7,1,6,0.16666666666666666
Blue Oasis Student Center,1,2,2,1.0
Campus Engagement,1,1,1,1.0
Campus Health Clinic,1,2,2,1.0
Campus Programs,1,2,4,0.5
Campus Programs,2,2,4,0.5
Career Services,1,7,13,0.5384615384615384
Career Services,2,4,13,0.3076923076923077
Career Services,3,1,13,0.07692307692307693
Career Services,7,1,13,0.07692307692307693
Changes in Status,2,5,12,0.4166666666666667
Changes in Status,7,7,12,0.5833333333333334
Chinese Student Services and Student Mobility,1,1,2,0.5
Chinese Student Services and Student Mobility,7,1,2,0.5
Class Attendance and Missed Work,7,4,4,1.0
Class Scheduling,7,1,1,1.0
Compliance with Academic Regulations,2,1,1,1.0
Computation and Design / Digital Media,0,3,4,0.75
Computation and Design / Digital Media,5,1,4,0.25
Computation and Design / Social Policy,0,1,5,0.2
Computation and Design / Social Policy,3,1,5,0.2
Computation and Design / Social Policy,4,1,5,0.2
Computation and Design / Social Policy,5,2,5,0.4
"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",3,4,5,0.8
"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",7,1,5,0.2
Counseling and Psychological Services (CAPS),1,1,2,0.5
Counseling and Psychological Services (CAPS),2,1,2,0.5
Course Audit,2,1,2,0.5
Course Audit,7,1,2,0.5
Course Descriptions,7,1,1,1.0
Course Repeat,2,2,7,0.2857142857142857
Course Repeat,7,5,7,0.7142857142857143
Courses with Course Subject: Arts (ARTS),7,1,1,1.0
Courses with Course Subject: Arts and Humanities (ARHU),0,2,2,1.0
Courses with Course Subject: Behavior Science (BEHAVSCI),1,2,12,0.16666666666666666
